order_id,delivery_date,region,service_type,promised_time_minutes,delivery_time_minutes,customer_id,customer_rating,promotional_campaign_id
D1000,12/4/2024,West,Parcel,60,51,C282,4,
D1001,14/12/2024,East,Parcel,60,10,C245,4,
D1002,27/09/2024,South,Express,120,525,C162,4,CAMP002
D1003,16/04/2024,North,Express,1440,1631,C215,2,
D1004,12/3/2024,West,Express,90,10,C212,4,
D1005,7/7/2024,West,Parcel,90,257,C146,2,CAMP001
D1006,21/01/2024,West,Express,2880,3128,C156,3,CAMP002
D1007,12/4/2024,East,Express,2880,2906,C217,3,
D1008,1/5/2024,West,Parcel,90,162,C144,4,CAMP003
D1009,2/8/2024,West,Warehousing,2880,2947,C260,,
D1010,26/11/2024,West,Parcel,120,10,C244,4,CAMP003
D1011,28/03/2024,South,Express,90,53,C297,4,CAMP001
D1012,9/4/2024,East,Parcel,2880,2833,C103,4,CAMP001
D1013,25/12/2024,West,Warehousing,90,376,C247,4,CAMP003
D1014,31/05/2024,North,Parcel,1440,1506,C146,1,CAMP002
D1015,10/5/2024,North,Express,60,10,C242,3,CAMP001
D1016,29/05/2024,North,Warehousing,90,72,C297,3,
D1017,4/11/2024,East,Express,60,264,C146,3,
D1018,14/09/2024,East,Warehousing,2880,2844,C177,1,
D1019,9/12/2024,North,Warehousing,60,10,C223,2,
D1020,20/10/2024,West,Parcel,90,35,C174,3,CAMP002
D1021,10/7/2024,East,Parcel,1440,1628,C202,,
D1022,3/10/2024,North,Express,2880,2979,C236,3,CAMP001
D1023,9/6/2024,North,Parcel,90,98,C189,3,
D1024,9/11/2024,West,Parcel,2880,2918,C243,2,
D1025,22/01/2024,South,Warehousing,120,10,C168,4,
D1026,9/9/2024,East,Parcel,60,22,C160,3,
D1027,23/08/2024,West,Warehousing,120,10,C237,2,
D1028,10/12/2024,North,Warehousing,90,32,C149,4,CAMP002
D1029,18/02/2024,North,Warehousing,1440,1709,C102,1,CAMP003
D1030,28/02/2024,West,Express,2880,2665,C206,1,
D1031,18/06/2024,East,Express,60,10,C212,2,CAMP001
D1032,6/7/2024,South,Express,2880,2630,C193,1,
D1033,27/09/2024,South,Warehousing,90,10,C217,2,
D1034,8/7/2024,North,Express,2880,2843,C297,3,CAMP001
D1035,23/06/2024,East,Express,60,10,C180,5,
D1036,20/02/2024,South,Parcel,90,442,C208,4,
D1037,29/12/2024,East,Express,2880,2824,C150,4,
D1038,24/02/2024,East,Express,1440,1697,C246,3,
D1039,31/08/2024,North,Warehousing,90,283,C269,5,
D1040,15/11/2024,South,Warehousing,90,49,C134,3,
D1041,10/5/2024,West,Warehousing,1440,1862,C145,1,
D1042,2/11/2024,North,Warehousing,120,173,C253,4,CAMP001
D1043,14/05/2024,South,Warehousing,60,362,C168,2,CAMP003
D1044,21/01/2024,South,Warehousing,120,399,C192,3,
D1045,24/11/2024,South,Express,2880,2962,C163,4,CAMP002
D1046,15/06/2024,South,Warehousing,1440,1590,C264,5,
D1047,30/09/2024,South,Warehousing,120,244,C148,3,
D1048,29/03/2024,East,Parcel,90,10,C248,4,CAMP001
D1049,11/11/2024,North,Express,2880,2891,C173,,
D1050,14/01/2024,East,Express,2880,3094,C291,2,
D1051,29/08/2024,West,Express,120,425,C104,3,CAMP003
D1052,21/09/2024,South,Warehousing,120,10,C199,3,CAMP001
D1053,11/12/2024,North,Warehousing,1440,1545,C169,3,CAMP001
D1054,22/02/2024,South,Warehousing,60,90,C189,3,CAMP002
D1055,5/12/2024,North,Parcel,120,97,C103,5,
D1056,1/4/2024,East,Warehousing,120,191,C225,4,CAMP002
D1057,20/09/2024,North,Parcel,90,133,C138,4,
D1058,4/2/2024,West,Express,2880,2988,C262,3,CAMP002
D1059,24/07/2024,West,Warehousing,60,348,C228,5,CAMP002
D1060,21/03/2024,North,Parcel,90,246,C123,,
D1061,19/02/2024,North,Parcel,1440,1502,C156,5,
D1062,25/12/2024,North,Warehousing,1440,1812,C199,1,CAMP001
D1063,2/1/2024,North,Express,120,341,C169,4,CAMP003
D1064,23/02/2024,West,Express,120,102,C140,1,CAMP001
D1065,15/04/2024,South,Express,1440,1197,C281,3,CAMP003
D1066,16/09/2024,North,Parcel,120,10,C273,1,
D1067,5/11/2024,North,Parcel,60,246,C159,4,CAMP001
D1068,9/7/2024,West,Parcel,120,10,C207,4,CAMP002
D1069,5/8/2024,West,Parcel,2880,2679,C287,2,CAMP002
D1070,13/02/2024,East,Express,120,10,C156,3,
D1071,10/6/2024,North,Warehousing,90,10,C130,3,
D1072,20/07/2024,East,Parcel,60,230,C183,3,CAMP001
D1073,26/09/2024,West,Parcel,90,59,C251,2,
D1074,16/12/2024,West,Express,90,10,C135,3,CAMP002
D1075,30/10/2024,South,Warehousing,2880,2886,C257,4,CAMP002
D1076,27/09/2024,North,Warehousing,60,104,C251,1,
D1077,2/8/2024,East,Express,60,10,C207,1,
D1078,8/9/2024,West,Express,60,291,C205,3,
D1079,8/7/2024,West,Warehousing,60,10,C257,5,
D1080,22/10/2024,East,Parcel,60,281,C185,4,CAMP002
D1081,31/07/2024,South,Warehousing,2880,2999,C234,4,
D1082,26/07/2024,West,Express,120,305,C262,3,CAMP002
D1083,24/08/2024,North,Parcel,90,10,C282,4,
D1084,3/12/2024,West,Parcel,60,79,C113,1,CAMP002
D1085,22/02/2024,North,Express,120,110,C219,4,
D1086,6/10/2024,East,Express,120,10,C237,5,CAMP002
D1087,4/8/2024,North,Express,90,311,C179,4,CAMP001
D1088,8/9/2024,East,Warehousing,2880,2717,C243,5,
D1089,6/7/2024,North,Warehousing,1440,1319,C281,4,CAMP001
D1090,10/2/2024,East,Parcel,1440,1238,C205,2,
D1091,5/6/2024,North,Express,120,260,C169,5,CAMP002
D1092,15/01/2024,South,Parcel,90,10,C143,1,CAMP001
D1093,27/10/2024,North,Parcel,1440,1563,C172,4,CAMP001
D1094,5/3/2024,North,Parcel,120,328,C144,2,CAMP001
D1095,10/12/2024,South,Parcel,2880,2987,C283,1,
D1096,22/11/2024,West,Express,1440,1582,C206,3,CAMP002
D1097,9/1/2024,West,Parcel,120,271,C183,3,
D1098,9/12/2024,North,Express,120,10,C181,3,
D1099,8/5/2024,South,Express,60,346,C206,4,CAMP003
D1100,15/05/2024,North,Warehousing,2880,2788,C284,1,
D1101,3/3/2024,East,Express,60,47,C120,2,
D1102,18/05/2024,East,Warehousing,90,24,C295,4,
D1103,21/03/2024,North,Express,60,158,C277,3,CAMP002
D1104,11/6/2024,West,Express,60,10,C260,4,CAMP002
D1105,15/10/2024,West,Express,1440,1453,C106,4,
D1106,17/09/2024,North,Warehousing,120,10,C169,5,
D1107,18/08/2024,North,Warehousing,2880,3112,C226,4,
D1108,10/2/2024,East,Parcel,60,194,C242,3,CAMP003
D1109,28/01/2024,West,Warehousing,2880,2822,C259,4,
D1110,14/05/2024,North,Warehousing,60,10,C247,3,CAMP003
D1111,19/07/2024,East,Warehousing,90,218,C242,3,CAMP003
D1112,23/11/2024,West,Warehousing,60,10,C275,4,CAMP002
D1113,24/09/2024,South,Parcel,1440,1465,C298,3,
D1114,2/2/2024,East,Warehousing,120,352,C248,4,CAMP001
D1115,17/02/2024,West,Express,90,10,C269,5,CAMP002
D1116,2/3/2024,West,Express,60,133,C253,5,
D1117,3/8/2024,East,Warehousing,2880,2943,C219,5,CAMP002
D1118,19/10/2024,South,Warehousing,90,71,C227,3,CAMP001
D1119,8/4/2024,East,Express,90,10,C241,3,CAMP001
D1120,20/06/2024,West,Express,60,302,C156,4,
D1121,25/12/2024,North,Parcel,90,10,C264,3,
D1122,1/8/2024,North,Express,2880,2518,C157,4,CAMP003
D1123,4/2/2024,East,Express,90,218,C120,4,
D1124,14/08/2024,West,Warehousing,2880,2640,C181,4,
D1125,10/4/2024,North,Express,60,198,C168,3,CAMP002
D1126,10/5/2024,West,Parcel,120,386,C230,2,
D1127,13/09/2024,East,Express,90,215,C186,3,
D1128,5/1/2024,North,Warehousing,120,334,C264,2,
D1129,5/8/2024,West,Warehousing,2880,3284,C148,5,CAMP001
D1130,11/9/2024,North,Express,90,283,C246,3,
D1131,24/12/2024,East,Warehousing,1440,1506,C214,2,
D1132,9/10/2024,West,Parcel,120,446,C188,1,CAMP002
D1133,25/07/2024,North,Parcel,90,440,C184,4,CAMP003
D1134,15/01/2024,East,Express,120,473,C227,4,CAMP001
D1135,11/12/2024,North,Express,90,10,C239,3,CAMP001
D1136,11/2/2024,North,Express,60,10,C288,1,
D1137,27/06/2024,South,Warehousing,120,10,C268,3,CAMP001
D1138,3/3/2024,South,Parcel,1440,1580,C260,3,CAMP003
D1139,17/12/2024,East,Parcel,1440,1471,C277,4,
D1140,18/08/2024,South,Warehousing,2880,2839,C216,4,CAMP001
D1141,28/08/2024,East,Parcel,90,202,C295,3,
D1142,21/02/2024,South,Express,120,10,C226,2,CAMP002
D1143,5/4/2024,North,Express,2880,2908,C170,,CAMP002
D1144,9/8/2024,East,Express,120,343,C185,3,CAMP002
D1145,18/08/2024,East,Parcel,90,199,C132,4,CAMP002
D1146,24/08/2024,North,Express,1440,1578,C180,2,CAMP001
D1147,22/05/2024,East,Warehousing,60,379,C251,3,
D1148,19/06/2024,East,Warehousing,1440,1427,C160,1,
D1149,29/01/2024,South,Parcel,2880,2750,C160,4,CAMP002
D1150,5/2/2024,East,Warehousing,60,297,C197,,
D1151,13/01/2024,West,Warehousing,2880,3114,C127,3,
D1152,8/6/2024,North,Parcel,90,201,C285,1,
D1153,22/11/2024,South,Express,60,28,C142,1,CAMP003
D1154,5/7/2024,South,Express,2880,2880,C268,3,CAMP002
D1155,30/08/2024,West,Express,90,10,C266,2,CAMP002
D1156,26/03/2024,North,Parcel,1440,1662,C185,1,
D1157,10/10/2024,North,Warehousing,90,305,C276,4,
D1158,6/3/2024,South,Express,120,10,C116,3,CAMP001
D1159,18/06/2024,East,Express,90,263,C197,3,CAMP002
D1160,14/02/2024,South,Parcel,90,170,C297,5,
D1161,2/3/2024,North,Express,120,10,C297,2,
D1162,13/05/2024,West,Parcel,2880,2639,C197,,
D1163,10/10/2024,South,Warehousing,2880,2954,C164,3,
D1164,28/01/2024,North,Parcel,90,11,C173,5,CAMP002
D1165,17/04/2024,South,Parcel,120,483,C184,4,
D1166,13/02/2024,East,Parcel,120,310,C104,5,
D1167,5/12/2024,South,Parcel,1440,1534,C101,,CAMP001
D1168,12/10/2024,South,Warehousing,2880,2984,C121,3,
D1169,26/11/2024,North,Warehousing,60,326,C211,,
D1170,7/5/2024,North,Express,2880,3049,C156,3,CAMP001
D1171,13/12/2024,North,Warehousing,2880,2979,C165,3,
D1172,18/08/2024,South,Warehousing,1440,1244,C173,3,
D1173,8/7/2024,East,Express,60,672,C197,4,
D1174,12/8/2024,West,Warehousing,1440,1220,C243,2,CAMP001
D1175,9/10/2024,West,Parcel,60,10,C211,4,CAMP002
D1176,30/04/2024,North,Parcel,90,10,C278,4,
D1177,25/04/2024,North,Express,60,167,C224,4,CAMP002
D1178,20/08/2024,South,Express,1440,1470,C266,5,
D1179,15/09/2024,West,Express,2880,3033,C185,3,
D1180,24/12/2024,North,Parcel,60,10,C175,3,CAMP001
D1181,16/07/2024,East,Warehousing,60,282,C187,3,
D1182,16/05/2024,East,Parcel,120,10,C267,2,
D1183,13/11/2024,North,Express,2880,2851,C137,1,CAMP002
D1184,13/06/2024,North,Warehousing,90,276,C287,3,
D1185,12/8/2024,West,Warehousing,1440,1492,C158,3,
D1186,2/11/2024,West,Parcel,90,156,C237,,
D1187,21/08/2024,South,Express,2880,3039,C198,4,
D1188,20/06/2024,West,Parcel,60,145,C291,3,CAMP003
D1189,31/05/2024,East,Warehousing,60,10,C162,4,
D1190,10/11/2024,East,Parcel,2880,2847,C148,2,
D1191,8/6/2024,North,Parcel,60,102,C291,3,
D1192,5/4/2024,West,Express,60,10,C131,4,
D1193,20/08/2024,South,Express,60,259,C234,3,CAMP002
D1194,28/06/2024,East,Warehousing,1440,1497,C120,3,
D1195,22/04/2024,East,Parcel,1440,1454,C119,,CAMP001
D1196,13/11/2024,South,Parcel,120,358,C253,5,CAMP002
D1197,21/02/2024,South,Parcel,90,66,C226,4,CAMP002
D1198,24/09/2024,East,Warehousing,2880,2844,C167,4,
D1199,21/10/2024,East,Warehousing,2880,2784,C209,4,
D1200,22/04/2024,South,Express,2880,2948,C215,2,
D1201,10/4/2024,East,Express,120,181,C242,3,
